mizar_ref,stop_id,nome
890,587,PROVINCIALE AGUGLIANO
891,588,VIA PATERNO
892,589,VIA PATERNO
893,590,1^ VIA PATERNO
894,591,2^ VIA PATERNO
895,592,3^ VIA PATERNO
896,593,PATERNO CAPOLINEA
897,594,4^ VIA PATERNO
898,595,5^ VIA PATERNO
899,596,6^ VIA PATERNO
900,597,7^ VIA PATERNO
901,598,8^ VIA PATERNO
902,599,PROVINCIALE AGUGLIANO
903,600,CASINE DI PATERNO
904,601,PROVINCIALE AGUGLIANO
905,602,PROVINCIALE AGUGLIANO
906,603,PROVINCIALE AGUGLIANO
907,604,PROVINCIALE AGUGLIANO
908,605,P.LE AGUGLIANO (TENNIS)
909,606,VIA METAURO
911,609,VIA METAURO
912,610,VIA ESINO
913,611,3^ VIA ESINO
914,612,VIA GROTTE
916,614,2^ VIA GROTTE
917,615,3^ VIA GROTTE
918,616,VIA GROTTE (Cimitero)
919,617,5^ VIA GROTTE
920,618,6^ VIA GROTTE
921,619,VIA MONTAGNOLA (DAVANTI IPC PODESTI)
922,620,VIA SCRIMA
923,621,PIAZZALE CAMERINO
924,622,VIA PESARO
925,623,VIA PESARO
926,624,Via Urbino - Sc. Podesti
927,625,LARGO SARNANO
4612,626,Via G. Matteotti
928,627,2^ VIA SAPPANICO
929,628,5^ VIA SAPPANICO
930,629,Via Ninchi
931,630,1^ Via Ninchi - Incr. Via Cimetta
932,631,VIA MANZONI
935,634,3^ STRADA VECCHIA PINOCCHIO
936,635,Duomo - Cattedrale  S. Ciriaco
938,637,Via Marsala
939,638,Via Birarelli Parco del Cardeto
940,639,P.le Martelli - Villarey
941,640,VIA VILLAREY (Inc.Di Biagio)
942,641,VIA ODDO DI BIAGIO
943,642,Cantiere Navale (Fincantieri.)
944,643,TORRETTE - CIRCOLO ARTI E MESTIERI
945,645,Piazza U.BASSI
2126,646,Parco del Cardeto
946,650,PARCHEGGIO MONTE (Portonovo)
947,652,PIAZZETTA DI PORTONOVO
948,654,Piazza U.BASSI Cap.
949,655,P.D'ARMI (Osp.Ps.)
950,656,Via Metauro - Scuole
951,657,Via Metauro - Incr. via Conca
952,658,Via Metauro - Scuole
953,659,Piazza Cavour
954,660,Piazza Stamira
955,661,LICEO GALILEI
956,662,1^ VIA CONCA (COTRAN) andata
957,663,Ultima via CONCA (cotran) rit
958,664,Piazza DON MINZONI
959,665,CORSO AMENDOLA
960,672,CIMITERO CAPOLINEA
961,673,1^ CIMITERO
962,674,2^ CIMITERO
963,675,3^ CIMITERO
964,676,4^ CIMITERO
965,677,5^ CIMITERO
966,678,6^ CIMITERO
967,679,7^ CIMITERO
968,680,8^ CIMITERO
969,681,Cimitero - Entrata est
970,682,9^ CIMITERO
971,683,10^ CIMITERO
972,684,11^ CIMITERO
973,685,12^ CIMITERO
974,686,13^ CIMITERO
975,687,14^ CIMITERO
976,688,15^ CIMITERO
977,689,I.T.I.S
978,690,16^ CIMITERO
979,692,PINOCCHIO (FARMACIA)
980,693,TORRETTE - STAZIONE FS
981,697,"Via Albertini, 14"
982,702,VIA BOCCONI (semaforo)
983,703,PALOMBELLA
984,704,FRANA BARDUCCI
986,706,Via Misa - ITIS
987,707,1^ VIA ESINO
988,708,EX STABILIM. ANGELINI
989,709,VIA ESINO
990,710,V.MISA (C.DEL LATTE)
991,711,Torrette - Stazione FS
992,712,TORRETTE - LIDL
993,713,TORRETTE - FRANA BARDUCCI
994,714,EX STABIL. ANGELINI
995,715,PALOMBELLA
996,716,ANCONA (Stazione-Alberghi)
998,718,Via Musone - Fronte Stazione di Torrette
999,720,CAMERANENSE
1000,721,CAMERANENSE
1001,722,7^ Via MADONNETTA
1002,723,Castellano - Saveriani
1003,724,Castellano - Saveriani
1005,727,5^ V.MONTACUTO
1006,728,9^ V.MONTACUTO
